Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,TrackTemp,Humidity,RaceName,IsSCLap,IsPitLap,TrackStatusLabel,IsOutlier,StintLap,NormTrackTemp,SectorSum,average_lap_time,best_lap_time,lap_time_std,consistency_score,average_race_pace,tire_degradation_rate,tire_efficiency_score,pit_stop_impact,sector_consistency,relative_pace
0 days 00:57:13.827000,PIA,81,98.693,1.0,1.0,,,,42.13,23.956,,0 days 00:56:50.049000,0 days 00:57:14.119000,233.0,244.0,274.0,250.0,False,SOFT,4.0,False,McLaren,0 days 00:55:34.907000,,1,1.0,,,False,False,27.052531645569626,31.870253164556964,45.32911392405063,Bahrain,False,False,Green,False,1,0.5,66.086,97.21007843137255,95.14,1.0330541097761852,0.49187082389562564,97.21007843137255,0.07394505494505824,0.001092777646649037,1.3969999999999985,3.4780622472852882,-3.6773888332014337
0 days 00:58:51.319000,PIA,81,97.492,2.0,1.0,,,31.139,42.343,24.01,0 days 00:57:45.021000,0 days 00:58:27.364000,0 days 00:58:51.374000,234.0,239.0,276.0,288.0,True,SOFT,5.0,False,McLaren,0 days 00:57:13.827000,,1,1.0,,,False,True,27.052531645569626,31.870253164556964,45.32911392405063,Bahrain,False,False,Green,False,2,0.5,97.492,97.21007843137255,95.14,1.0330541097761852,0.49187082389562564,97.21007843137255,0.07394505494505824,0.001092777646649037,1.3969999999999985,3.4780622472852882,-3.6773888332014337
0 days 01:00:29.402000,PIA,81,98.083,3.0,1.0,,,31.306,42.727,24.05,0 days 00:59:22.680000,0 days 01:00:05.407000,0 days 01:00:29.457000,233.0,236.0,276.0,290.0,False,SOFT,6.0,False,McLaren,0 days 00:58:51.319000,,1,1.0,,,False,True,27.052531645569626,31.870253164556964,45.32911392405063,Bahrain,False,False,Green,False,3,0.5,98.083,97.21007843137255,95.14,1.0330541097761852,0.49187082389562564,97.21007843137255,0.07394505494505824,0.001092777646649037,1.3969999999999985,3.4780622472852882,-3.6773888332014337
0 days 01:02:07.535000,PIA,81,98.133,4.0,1.0,,,31.326,42.796,24.011,0 days 01:01:00.783000,0 days 01:01:43.579000,0 days 01:02:07.590000,232.0,237.0,277.0,293.0,False,SOFT,7.0,False,McLaren,0 days 01:00:29.402000,,1,1.0,,,False,True,27.052531645569626,31.870253164556964,45.32911392405063,Bahrain,False,False,Green,False,4,0.5,98.133,97.21007843137255,95.14,1.0330541097761852,0.49187082389562564,97.21007843137255,0.07394505494505824,0.001092777646649037,1.3969999999999985,3.4780622472852882,-3.6773888332014337
0 days 01:03:45.578000,PIA,81,98.043,5.0,1.0,,,31.305,42.69,24.048,0 days 01:02:38.895000,0 days 01:03:21.585000,0 days 01:03:45.633000,231.0,236.0,276.0,290.0,False,SOFT,8.0,False,McLaren,0 days 01:02:07.535000,,1,1.0,,,False,True,27.052531645569626,31.870253164556964,45.32911392405063,Bahrain,False,False,Green,False,5,0.5,98.043,97.21007843137255,95.14,1.0330541097761852,0.49187082389562564,97.21007843137255,0.07394505494505824,0.001092777646649037,1.3969999999999985,3.4780622472852882,-3.6773888332014337
0 days 01:05:23.941000,PIA,81,98.363,6.0,1.0,,,31.336,42.88,24.147,0 days 01:04:16.969000,0 days 01:04:59.849000,0 days 01:05:23.996000,228.0,237.0,276.0,290.0,False,SOFT,9.0,False,McLaren,0 days 01:03:45.578000,,1,1.0,,,False,True,27.052531645569626,31.870253164556964,45.32911392405063,Bahrain,False,False,Green,False,6,0.5,98.363,97.21007843137255,95.14,1.0330541097761852,0.49187082389562564,97.21007843137255,0.07394505494505824,0.001092777646649037,1.3969999999999985,3.4780622472852882,-3.6773888332014337
0 days 01:07:02.439000,PIA,81,98.498,7.0,1.0,,,31.448,42.862,24.188,0 days 01:05:55.444000,0 days 01:06:38.306000,0 days 01:07:02.494000,229.0,239.0,277.0,291.0,False,SOFT,10.0,False,McLaren,0 days 01:05:23.941000,,1,1.0,,,False,True,27.052531645569626,31.870253164556964,45.32911392405063,Bahrain,False,False,Green,False,7,0.5,98.498,97.21007843137255,95.14,1.0330541097761852,0.49187082389562564,97.21007843137255,0.07394505494505824,0.001092777646649037,1.3969999999999985,3.4780622472852882,-3.6773888332014337
0 days 01:08:41.006000,PIA,81,98.567,8.0,1.0,,,31.5,42.865,24.202,0 days 01:07:33.994000,0 days 01:08:16.859000,0 days 01:08:41.061000,229.0,241.0,277.0,288.0,False,SOFT,11.0,False,McLaren,0 days 01:07:02.439000,,1,1.0,,,False,True,27.052531645569626,31.870253164556964,45.32911392405063,Bahrain,False,False,Green,False,8,0.5,98.56700000000001,97.21007843137255,95.14,1.0330541097761852,0.49187082389562564,97.21007843137255,0.07394505494505824,0.001092777646649037,1.3969999999999985,3.4780622472852882,-3.6773888332014337
0 days 01:10:19.806000,PIA,81,98.8,9.0,1.0,,,31.521,42.944,24.335,0 days 01:09:12.582000,0 days 01:09:55.526000,0 days 01:10:19.861000,230.0,238.0,277.0,291.0,False,SOFT,12.0,False,McLaren,0 days 01:08:41.006000,,1,1.0,,,False,True,27.052531645569626,31.870253164556964,45.32911392405063,Bahrain,False,False,Green,False,9,0.5,98.80000000000001,97.21007843137255,95.14,1.0330541097761852,0.49187082389562564,97.21007843137255,0.07394505494505824,0.001092777646649037,1.3969999999999985,3.4780622472852882,-3.6773888332014337
0 days 01:11:58.355000,PIA,81,98.549,10.0,1.0,,,31.452,42.868,24.229,0 days 01:10:51.313000,0 days 01:11:34.181000,0 days 01:11:58.410000,230.0,242.0,277.0,295.0,False,SOFT,13.0,False,McLaren,0 days 01:10:19.806000,,1,1.0,,,False,True,27.052531645569626,31.870253164556964,45.32911392405063,Bahrain,False,False,Green,False,10,0.5,98.549,97.21007843137255,95.14,1.0330541097761852,0.49187082389562564,97.21007843137255,0.07394505494505824,0.001092777646649037,1.3969999999999985,3.4780622472852882,-3.6773888332014337
