Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,TrackTemp,Humidity,RaceName,IsSCLap,IsPitLap,TrackStatusLabel,IsOutlier,StintLap,NormTrackTemp,SectorSum,average_lap_time,best_lap_time,lap_time_std,consistency_score,average_race_pace,tire_degradation_rate,tire_efficiency_score,pit_stop_impact,sector_consistency,relative_pace
0 days 02:17:37.928000,PIA,81,185.558,1.0,1.0,0 days 02:14:45.252000,,,82.953,46.768,,0 days 02:16:51.276000,0 days 02:17:37.931000,203.0,103.0,178.0,142.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 02:14:32.096000,,14,2.0,,,False,False,17.030044843049332,24.09013452914799,84.4439461883408,Belgium,True,True,Unknown,True,1,0.5,129.721,109.28060526315791,105.706,5.509252598249866,0.15362746873102892,109.28060526315791,0.5193214285714214,-0.11329883412341794,12.823583333333325,4.1474372652530755,-4.518735396182748
0 days 02:28:25.058000,PIA,81,119.092,5.0,1.0,,,32.95,54.45,31.692,0 days 02:26:58.919000,0 days 02:27:53.369000,0 days 02:28:25.061000,313.0,184.0,212.0,295.0,True,INTERMEDIATE,5.0,True,McLaren,0 days 02:26:25.966000,,1,1.0,,,False,True,17.030044843049332,24.09013452914799,84.4439461883408,Belgium,False,False,Green,False,2,0.5,119.09200000000001,109.28060526315791,105.706,5.509252598249866,0.15362746873102892,109.28060526315791,0.5193214285714214,-0.11329883412341794,12.823583333333325,4.1474372652530755,-4.518735396182748
0 days 02:30:24.273000,PIA,81,119.215,6.0,1.0,,,33.243,54.495,31.477,0 days 02:28:58.304000,0 days 02:29:52.799000,0 days 02:30:24.276000,299.0,185.0,210.0,293.0,False,INTERMEDIATE,6.0,True,McLaren,0 days 02:28:25.058000,,1,1.0,,,False,True,17.030044843049332,24.09013452914799,84.4439461883408,Belgium,False,False,Green,False,3,0.5,119.215,109.28060526315791,105.706,5.509252598249866,0.15362746873102892,109.28060526315791,0.5193214285714214,-0.11329883412341794,12.823583333333325,4.1474372652530755,-4.518735396182748
0 days 02:32:24.041000,PIA,81,119.768,7.0,1.0,,,33.264,54.542,31.962,0 days 02:30:57.540000,0 days 02:31:52.082000,0 days 02:32:24.044000,300.0,175.0,209.0,294.0,False,INTERMEDIATE,7.0,True,McLaren,0 days 02:30:24.273000,,1,1.0,,,False,True,17.030044843049332,24.09013452914799,84.4439461883408,Belgium,False,False,Green,False,4,0.5,119.76800000000001,109.28060526315791,105.706,5.509252598249866,0.15362746873102892,109.28060526315791,0.5193214285714214,-0.11329883412341794,12.823583333333325,4.1474372652530755,-4.518735396182748
0 days 02:34:24.652000,PIA,81,120.611,8.0,1.0,,,33.464,55.068,32.079,0 days 02:32:57.508000,0 days 02:33:52.576000,0 days 02:34:24.655000,299.0,176.0,206.0,297.0,False,INTERMEDIATE,8.0,True,McLaren,0 days 02:32:24.041000,,1,1.0,,,False,True,17.030044843049332,24.09013452914799,84.4439461883408,Belgium,False,False,Green,False,5,0.5,120.61099999999999,109.28060526315791,105.706,5.509252598249866,0.15362746873102892,109.28060526315791,0.5193214285714214,-0.11329883412341794,12.823583333333325,4.1474372652530755,-4.518735396182748
0 days 02:36:26.061000,PIA,81,121.409,9.0,1.0,,,33.779,55.551,32.079,0 days 02:34:58.434000,0 days 02:35:53.985000,0 days 02:36:26.064000,300.0,175.0,205.0,292.0,False,INTERMEDIATE,9.0,True,McLaren,0 days 02:34:24.652000,,1,1.0,,,False,True,17.030044843049332,24.09013452914799,84.4439461883408,Belgium,False,False,Green,False,6,0.5,121.40900000000002,109.28060526315791,105.706,5.509252598249866,0.15362746873102892,109.28060526315791,0.5193214285714214,-0.11329883412341794,12.823583333333325,4.1474372652530755,-4.518735396182748
0 days 02:38:28.165000,PIA,81,122.104,10.0,1.0,,,33.974,56.147,31.983,0 days 02:37:00.038000,0 days 02:37:56.185000,0 days 02:38:28.168000,300.0,177.0,205.0,290.0,False,INTERMEDIATE,10.0,True,McLaren,0 days 02:36:26.061000,,1,1.0,,,False,True,17.030044843049332,24.09013452914799,84.4439461883408,Belgium,False,False,Green,False,7,0.5,122.104,109.28060526315791,105.706,5.509252598249866,0.15362746873102892,109.28060526315791,0.5193214285714214,-0.11329883412341794,12.823583333333325,4.1474372652530755,-4.518735396182748
0 days 02:40:29.631000,PIA,81,121.466,11.0,1.0,,,33.844,55.869,31.753,0 days 02:39:02.012000,0 days 02:39:57.881000,0 days 02:40:29.634000,300.0,175.0,207.0,292.0,False,INTERMEDIATE,11.0,True,McLaren,0 days 02:38:28.165000,,1,1.0,,,False,True,17.030044843049332,24.09013452914799,84.4439461883408,Belgium,False,False,Green,False,8,0.5,121.466,109.28060526315791,105.706,5.509252598249866,0.15362746873102892,109.28060526315791,0.5193214285714214,-0.11329883412341794,12.823583333333325,4.1474372652530755,-4.518735396182748
0 days 02:42:35.650000,PIA,81,126.019,12.0,1.0,,0 days 02:42:31.751000,33.696,55.638,36.685,0 days 02:41:03.330000,0 days 02:41:58.968000,0 days 02:42:35.653000,301.0,175.0,,296.0,False,INTERMEDIATE,12.0,True,McLaren,0 days 02:40:29.631000,,1,2.0,,,False,False,17.030044843049332,24.09013452914799,84.4439461883408,Belgium,False,True,Green,False,9,0.5,126.019,109.28060526315791,105.706,5.509252598249866,0.15362746873102892,109.28060526315791,0.5193214285714214,-0.11329883412341794,12.823583333333325,4.1474372652530755,-4.518735396182748
0 days 02:44:45.974000,PIA,81,130.324,13.0,2.0,0 days 02:42:55.576000,,48.957,51.542,29.825,0 days 02:43:24.610000,0 days 02:44:16.152000,0 days 02:44:45.977000,307.0,200.0,219.0,282.0,False,MEDIUM,1.0,True,McLaren,0 days 02:42:35.650000,,1,2.0,,,False,False,17.030044843049332,24.09013452914799,84.4439461883408,Belgium,False,True,Green,True,1,0.5,130.32399999999998,109.28060526315791,105.706,5.509252598249866,0.15362746873102892,109.28060526315791,-0.05721370967741798,0.024640261417773625,12.823583333333325,4.1474372652530755,-4.518735396182748
