Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,TrackTemp,Humidity,RaceName,IsSCLap,IsPitLap,TrackStatusLabel,IsOutlier,StintLap,NormTrackTemp,SectorSum,average_lap_time,best_lap_time,lap_time_std,consistency_score,average_race_pace,tire_degradation_rate,tire_efficiency_score,pit_stop_impact,sector_consistency,relative_pace
0 days 00:57:36.090000,VER,1,87.02,1.0,1.0,,,,38.394,21.759,,0 days 00:57:14.559000,0 days 00:57:36.213000,170.0,178.0,253.0,258.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:56:08.809000,,12,4.0,,,False,False,22.209375,43.317499999999995,52.51875,Monaco,False,False,Unknown,True,1,0.5,60.153,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 00:59:22.408000,VER,1,106.318,2.0,1.0,,,34.949,45.145,26.224,0 days 00:58:11.074000,0 days 00:58:56.219000,0 days 00:59:22.443000,83.0,167.0,229.0,254.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:57:36.090000,,16,4.0,,,False,False,22.209375,43.317499999999995,52.51875,Monaco,True,False,Unknown,True,2,0.5,106.318,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:01:11.223000,VER,1,108.815,3.0,1.0,,,32.11,47.43,29.275,0 days 00:59:54.553000,0 days 01:00:41.983000,0 days 01:01:11.258000,159.0,100.0,226.0,257.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:59:22.408000,,6,4.0,,,False,False,22.209375,43.317499999999995,52.51875,Monaco,True,False,VSC,True,3,0.5,108.815,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:02:51.513000,VER,1,100.29,4.0,1.0,,,31.006,47.889,21.395,0 days 01:01:42.264000,0 days 01:02:30.153000,0 days 01:02:51.548000,136.0,170.0,262.0,253.0,True,HARD,4.0,True,Red Bull Racing,0 days 01:01:11.223000,,671,4.0,,,False,False,22.209375,43.317499999999995,52.51875,Monaco,True,False,Unknown,True,4,0.5,100.29,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:04:12.313000,VER,1,80.8,5.0,1.0,,,21.744,37.485,21.571,0 days 01:03:13.292000,0 days 01:03:50.777000,0 days 01:04:12.348000,177.0,173.0,254.0,262.0,True,HARD,5.0,True,Red Bull Racing,0 days 01:02:51.513000,,1,4.0,,,False,True,22.209375,43.317499999999995,52.51875,Monaco,False,False,Green,False,5,0.5,80.8,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:05:32.324000,VER,1,80.011,6.0,1.0,,,21.37,37.325,21.316,0 days 01:04:33.718000,0 days 01:05:11.043000,0 days 01:05:32.359000,182.0,181.0,254.0,265.0,True,HARD,6.0,True,Red Bull Racing,0 days 01:04:12.313000,,1,4.0,,,False,True,22.209375,43.317499999999995,52.51875,Monaco,False,False,Green,False,6,0.5,80.01100000000001,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:06:51.292000,VER,1,78.968,7.0,1.0,,,21.25,37.105,20.613,0 days 01:05:53.609000,0 days 01:06:30.714000,0 days 01:06:51.327000,184.0,188.0,255.0,258.0,True,HARD,7.0,True,Red Bull Racing,0 days 01:05:32.324000,,1,4.0,,,False,True,22.209375,43.317499999999995,52.51875,Monaco,False,False,Green,False,7,0.5,78.96799999999999,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:08:09.006000,VER,1,77.714,8.0,1.0,,,20.467,36.796,20.451,0 days 01:07:11.794000,0 days 01:07:48.590000,0 days 01:08:09.041000,195.0,191.0,256.0,263.0,True,HARD,8.0,True,Red Bull Racing,0 days 01:06:51.292000,,12,4.0,,,False,True,22.209375,43.317499999999995,52.51875,Monaco,False,False,Unknown,False,8,0.5,77.714,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:09:30.211000,VER,1,81.205,9.0,1.0,,,20.277,39.989,20.939,0 days 01:08:29.318000,0 days 01:09:09.307000,0 days 01:09:30.246000,199.0,179.0,266.0,255.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:08:09.006000,,2,4.0,,,False,True,22.209375,43.317499999999995,52.51875,Monaco,False,False,Yellow,False,9,0.5,81.205,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:10:49.380000,VER,1,79.169,10.0,1.0,,,20.44,38.145,20.584,0 days 01:09:50.686000,0 days 01:10:28.831000,0 days 01:10:49.415000,195.0,184.0,266.0,263.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:09:30.211000,,2,4.0,,,False,True,22.209375,43.317499999999995,52.51875,Monaco,False,False,Yellow,False,10,0.5,79.16900000000001,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:12:06.861000,VER,1,77.481,11.0,1.0,,,20.295,36.676,20.51,0 days 01:11:09.710000,0 days 01:11:46.386000,0 days 01:12:06.896000,200.0,188.0,265.0,276.0,True,HARD,11.0,True,Red Bull Racing,0 days 01:10:49.380000,,21,4.0,,,False,True,22.209375,43.317499999999995,52.51875,Monaco,False,False,Unknown,False,11,0.5,77.48100000000001,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:13:24.989000,VER,1,78.128,12.0,1.0,,,20.612,37.001,20.515,0 days 01:12:27.508000,0 days 01:13:04.509000,0 days 01:13:25.024000,179.0,188.0,257.0,265.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:12:06.861000,,1,4.0,,,False,True,22.209375,43.317499999999995,52.51875,Monaco,False,False,Green,False,12,0.5,78.128,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:14:42.111000,VER,1,77.122,13.0,1.0,,,20.309,36.424,20.389,0 days 01:13:45.333000,0 days 01:14:21.757000,0 days 01:14:42.146000,193.0,191.0,257.0,266.0,True,HARD,13.0,True,Red Bull Racing,0 days 01:13:24.989000,,1,4.0,,,False,True,22.209375,43.317499999999995,52.51875,Monaco,False,False,Green,False,13,0.5,77.122,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:15:58.921000,VER,1,76.81,14.0,1.0,,,20.267,36.267,20.276,0 days 01:15:02.413000,0 days 01:15:38.680000,0 days 01:15:58.956000,203.0,184.0,256.0,272.0,True,HARD,14.0,True,Red Bull Racing,0 days 01:14:42.111000,,1,4.0,,,False,True,22.209375,43.317499999999995,52.51875,Monaco,False,False,Green,False,14,0.5,76.81,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
0 days 01:17:15.301000,VER,1,76.38,15.0,1.0,,,20.364,35.859,20.157,0 days 01:16:19.320000,0 days 01:16:55.179000,0 days 01:17:15.336000,198.0,193.0,255.0,272.0,True,HARD,15.0,True,Red Bull Racing,0 days 01:15:58.921000,,1,4.0,,,False,True,22.209375,43.317499999999995,52.51875,Monaco,False,False,Green,False,15,0.5,76.38,75.8521142857143,74.23,1.4535377386789583,0.40757473758623464,75.8521142857143,-0.7984804639804625,0.0015204078261789428,-0.20616666666666106,2.5941537116957822,-3.4970515610882416
