Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,TrackTemp,Humidity,RaceName
0 days 00:59:17.271000,VER,1,87.159,1.0,1.0,,,,29.088,28.517,,0 days 00:58:48.867000,0 days 00:59:17.390000,321.0,309.0,305.0,284.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:57:49.893000,,1,1.0,,,False,False,26.76111111111111,43.28819444444444,42.604166666666664,Italy
0 days 01:00:42.130000,VER,1,84.859,2.0,1.0,,,28.457,28.843,27.559,0 days 00:59:45.728000,0 days 01:00:14.571000,0 days 01:00:42.130000,314.0,326.0,313.0,309.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:59:17.271000,,1,2.0,,,False,True,26.76111111111111,43.28819444444444,42.604166666666664,Italy
0 days 01:02:05.642000,VER,1,83.512,3.0,1.0,,,27.212,28.713,27.587,0 days 01:01:09.342000,0 days 01:01:38.055000,0 days 01:02:05.642000,320.0,329.0,314.0,350.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:00:42.130000,,1,2.0,,,False,True,26.76111111111111,43.28819444444444,42.604166666666664,Italy
0 days 01:03:28.904000,VER,1,83.262,4.0,1.0,,,27.375,28.455,27.432,0 days 01:02:33.017000,0 days 01:03:01.472000,0 days 01:03:28.904000,312.0,312.0,313.0,352.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:02:05.642000,,1,1.0,,,False,True,26.76111111111111,43.28819444444444,42.604166666666664,Italy
0 days 01:04:52.492000,VER,1,83.588,5.0,1.0,,,27.52,28.427,27.641,0 days 01:03:56.424000,0 days 01:04:24.851000,0 days 01:04:52.492000,309.0,310.0,313.0,317.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:03:28.904000,,1,1.0,,,False,True,26.76111111111111,43.28819444444444,42.604166666666664,Italy
0 days 01:06:16.068000,VER,1,83.576,6.0,1.0,,,27.434,28.496,27.646,0 days 01:05:19.926000,0 days 01:05:48.422000,0 days 01:06:16.068000,311.0,312.0,312.0,320.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:04:52.492000,,1,1.0,,,False,True,26.76111111111111,43.28819444444444,42.604166666666664,Italy
0 days 01:07:39.378000,VER,1,83.31,7.0,1.0,,,27.458,28.306,27.546,0 days 01:06:43.526000,0 days 01:07:11.832000,0 days 01:07:39.378000,311.0,313.0,312.0,320.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:06:16.068000,,1,1.0,,,False,True,26.76111111111111,43.28819444444444,42.604166666666664,Italy
0 days 01:09:02.517000,VER,1,83.139,8.0,1.0,,,27.411,28.318,27.41,0 days 01:08:06.789000,0 days 01:08:35.107000,0 days 01:09:02.517000,310.0,312.0,312.0,320.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:07:39.378000,,1,1.0,,,False,True,26.76111111111111,43.28819444444444,42.604166666666664,Italy
0 days 01:10:25.618000,VER,1,83.101,9.0,1.0,,,27.292,28.355,27.454,0 days 01:09:29.809000,0 days 01:09:58.164000,0 days 01:10:25.618000,311.0,314.0,312.0,321.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:09:02.517000,,1,1.0,,,False,True,26.76111111111111,43.28819444444444,42.604166666666664,Italy
0 days 01:11:48.706000,VER,1,83.088,10.0,1.0,,,27.369,28.37,27.349,0 days 01:10:52.987000,0 days 01:11:21.357000,0 days 01:11:48.706000,313.0,314.0,311.0,322.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 01:10:25.618000,,1,1.0,,,False,True,26.76111111111111,43.28819444444444,42.604166666666664,Italy
