[INFO] 2026-05-23 08:13:00 | Database | Veritabanı tabloları hazır.
[INFO] 2026-05-23 08:13:00 | DataLoader | ==================================================
[INFO] 2026-05-23 08:13:00 | DataLoader | Yarış yükleniyor: Bahrain 2025
[WARNING] 2026-05-23 08:13:00 | DataLoader | fastf1 kütüphanesi bulunamadı. Örnek veri kullanılacak.
[ERROR] 2026-05-23 08:13:00 | DataLoader | fastf1 yüklü değil. 'pip install fastf1' komutu çalıştırın.
[WARNING] 2026-05-23 08:13:00 | Utils | Bahrain için örnek (simüle) veri üretiliyor.
[INFO] 2026-05-23 08:13:00 | DataLoader | Preprocessing başlıyor...
[INFO] 2026-05-23 08:13:00 | Preprocessing | Preprocessing started: Bahrain (200 satır)
[INFO] 2026-05-23 08:13:00 | Preprocessing | Preprocessing tamamlandı: 200 satır (0 satır çıkarıldı).
[INFO] 2026-05-23 08:13:00 | Database | Bahrain: 200 tur SQLite'a kaydedildi.
[INFO] 2026-05-23 08:13:00 | DataLoader | Feature engineering başlıyor...
[INFO] 2026-05-23 08:13:00 | FeatureEngineering | Feature engineering başladı: Bahrain
[INFO] 2026-05-23 08:13:00 | FeatureEngineering | Feature engineering tamamlandı: 35 sütun mevcut.
[SUCCESS] 2026-05-23 08:13:00 | F1System | Bahrain: İşlenmiş veri kaydedildi (200 tur).
[INFO] 2026-05-23 08:13:00 | EDA | EDA başlıyor: Bahrain
[INFO] 2026-05-23 08:13:01 | EDA | EDA tamamlandı: Bahrain
[INFO] 2026-05-23 08:13:01 | Analysis | Analizler başlıyor: Bahrain
[INFO] 2026-05-23 08:13:01 | Analysis | Tüm analizler tamamlandı: Bahrain
[INFO] 2026-05-23 08:13:01 | Models | ML pipeline başlıyor: Bahrain
[SUCCESS] 2026-05-23 08:13:01 | F1System | K-Means tamamlandı: 3 küme, 10 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:13:01 | F1System | Decision Tree model trained. Accuracy: 0.667
[SUCCESS] 2026-05-23 08:13:01 | F1System | kNN model trained (k=5). Accuracy: 0.667
[SUCCESS] 2026-05-23 08:13:01 | F1System | ML pipeline tamamlandı: Bahrain
[INFO] 2026-05-23 08:13:01 | Main | Decision Tree model trained.
[INFO] 2026-05-23 08:13:01 | Visualization | Grafik üretimi başlıyor: Bahrain
[ERROR] 2026-05-23 08:13:02 | Visualization | Grafik üretim hatası: 'mean'
[INFO] 2026-05-23 08:13:02 | Visualization | Üretilen grafik sayısı: 3
[INFO] 2026-05-23 08:13:02 | ReportGenerator | Rapor üretiliyor: Bahrain
[WARNING] 2026-05-23 08:13:02 | Main | Rapor hatası (Bahrain): Invalid format specifier '.4f if rate else 'N/A'' for object of type 'float'
[SUCCESS] 2026-05-23 08:13:02 | F1System | Dashboard data is ready: Bahrain (1.6s)
[INFO] 2026-05-23 08:13:02 | DataLoader | ==================================================
[INFO] 2026-05-23 08:13:02 | DataLoader | Yarış yükleniyor: Monaco 2025
[WARNING] 2026-05-23 08:13:02 | DataLoader | fastf1 kütüphanesi bulunamadı. Örnek veri kullanılacak.
[ERROR] 2026-05-23 08:13:02 | DataLoader | fastf1 yüklü değil. 'pip install fastf1' komutu çalıştırın.
[WARNING] 2026-05-23 08:13:02 | Utils | Monaco için örnek (simüle) veri üretiliyor.
