feature,dt_without,knn_without,delta_dt,delta_knn,avg_delta
consistency_score,0.8968,0.6032,0.0,-0.0952,-0.0476
lap_time_std,0.8968,0.6032,0.0,-0.0952,-0.0476
degradation_hard,0.8968,0.6508,0.0,-0.0476,-0.0238
best_lap_time,0.8968,0.6984,0.0,0.0,0.0
degradation_medium,0.8968,0.6984,0.0,0.0,0.0
TrackTemp,0.8968,0.6984,0.0,0.0,0.0
AirTemp,0.8968,0.6984,0.0,0.0,0.0
tire_degradation_rate,0.8968,0.6984,0.0,0.0,0.0
degradation_soft,0.8968,0.6984,0.0,0.0,0.0
avg_air_temp,0.8968,0.6984,0.0,0.0,0.0
average_race_pace,0.8968,0.754,0.0,0.0556,0.0278
average_lap_time,0.8968,0.754,0.0,0.0556,0.0278
sector_consistency,0.8968,0.754,0.0,0.0556,0.0278
pit_stop_impact,0.8968,0.754,0.0,0.0556,0.0278
