model,param,train_acc,val_acc,gap
DT,max_depth=1,1.0,0.888888888888889,0.11111111111111105
DT,max_depth=2,1.0,0.888888888888889,0.11111111111111105
DT,max_depth=3,1.0,0.888888888888889,0.11111111111111105
DT,max_depth=4,1.0,0.888888888888889,0.11111111111111105
DT,max_depth=5,1.0,0.888888888888889,0.11111111111111105
DT,max_depth=6,1.0,0.888888888888889,0.11111111111111105
DT,max_depth=7,1.0,0.888888888888889,0.11111111111111105
DT,max_depth=8,1.0,0.888888888888889,0.11111111111111105
DT,max_depth=9,1.0,0.888888888888889,0.11111111111111105
DT,max_depth=10,1.0,0.888888888888889,0.11111111111111105
kNN,n_neighbors=1,1.0,0.8777777777777779,0.12222222222222212
kNN,n_neighbors=2,0.9090909090909092,0.8222222222222223,0.08686868686868687
kNN,n_neighbors=3,0.9090909090909092,0.8111111111111112,0.09797979797979794
kNN,n_neighbors=4,0.9116161616161617,0.9333333333333332,-0.02171717171717158
kNN,n_neighbors=5,0.7323232323232324,0.7111111111111112,0.021212121212121127
kNN,n_neighbors=6,0.8232323232323232,0.7111111111111112,0.11212121212121196
kNN,n_neighbors=7,0.6767676767676768,0.6555555555555556,0.021212121212121238
kNN,n_neighbors=8,0.787878787878788,0.7666666666666666,0.02121212121212135
kNN,n_neighbors=9,0.6186868686868686,0.6,0.01868686868686864
kNN,n_neighbors=10,0.7297979797979798,0.7666666666666666,-0.03686868686868683
